,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cost,cuisine 1,cuisine 2,cuisine 3,cuisine 4,cuisine 5,cuisine 6,cuisine 7,cuisine 8,t1,t2,l1,l2,l3,l4,l5,l6,l7,location
2947,"Ganesh Bhel
                                    ",['Quic Bites'],Erandwane,3.9,128.0,4.4,834.0,200,Fast Food,Street Food,,,,,,,Quic Bites,,Panipuri, Chaat, Sandwich, Dabeli,,,,Erandwane
2948,"Ganesh Bhel
                                    ",['Quic Bites'],Nigdi,3.0,56.0,4.0,625.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,Panipuri, Sev Puri,,,,,,Nigdi
2949,"Ganesh Bhel
                                    ",['Quic Bites'],Chinchwad,3.6634499896458945,,3.8,0.0,150,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,Chinchwad
2950,"Ganesh Bhel
                                    ",['Quic Bites'],Warje,3.6634499896458945,,3.8,0.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,Warje
2951,"Ganesh Bhel
                                    ",['Quic Bites'],Viman Nagar,3.8,20.0,4.3,263.0,200,Street Food,,,,,,,,Quic Bites,,,,,,,,,Viman Nagar
2952,"Ganesh Bhel
                                    ",['Quic Bites'],othrud,3.8,54.0,3.8,0.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,othrud
2953,"Ganesh Bhel
                                    ",['Quic Bites'],Pimple Saudagar,3.5,134.0,4.0,1228.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,Panipuri, Chaat, Sandwich, Sev Puri, Ragda Puri, Ragda Patty, Paneer Tia,Pimple Saudagar
2954,"Ganesh Bhel
                                    ",,othrud,3.4,10.0,3.8,0.0,100,Street Food,,,,,,,,,,,,,,,,,othrud
2955,"Ganesh Bhel
                                    ",['Quic Bites'],Waad,3.9,109.0,3.9,506.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,Waad
2956,"Ganesh Bhel
                                    ",['Food Truc'],haradi,3.0,18.0,3.8,22.0,150,Sandwich,Street Food,,,,,,,Food Truc,,,,,,,,,haradi
2957,"Ganesh Bhel
                                    ",['Quic Bites'],"Aditi Mall, Baner Road",3.6,80.0,3.9,819.0,150,Fast Food,Street Food,,,,,,,Quic Bites,,Panipuri, Sandwich, Bhel Puri, Ragda Patty, Chaat, Sev Puri, Masala Poori, Baner Road
2958,"Ganesh Bhel
                                    ",['Quic Bites'],arve Nagar,3.8,172.0,4.3,1542.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,Panipuri, Chaat, Dabeli, Chocolate Sandwich, Masala Poori,,,arve Nagar
2959,"Ganesh Bhel
                                    ",['Quic Bites'],Sinhgad Road,3.1,15.0,3.8,0.0,200,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,Sinhgad Road
2960,"Ganesh Bhel
                                    ",['Quic Bites'],othrud,3.5,83.0,3.8,1652.0,200,South Indian,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,othrud
2961,"Ganesh Bhel
                                    ",['Quic Bites'],othrud,3.4,10.0,3.8,0.0,150,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,othrud
2962,"Ganesh Bhel
                                    ",['Quic Bites'],Baner,3.6634499896458945,,3.8,0.0,150,Sandwich,Street Food,,,,,,,Quic Bites,,,,,,,,,Baner
2963,"Thorat's Baarbeque Misal
                                    ",['Quic Bites'],Narhe,3.8,323.0,3.8,0.0,250,Street Food,,,,,,,,Quic Bites,,Poha, olhapuri Misal,,,,,,Narhe
2964,"Thorat's Baarbeque Misal
                                    ",['Quic Bites'],Baner,3.8,2.0,3.8,0.0,250,Street Food,,,,,,,,Quic Bites,,,,,,,,,Baner
2965,"Thorat's Baarbeque Misal
                                    ",['Quic Bites'],Bavdhan,3.8,0.0,3.8,0.0,250,Street Food,Maharashtrian,,,,,,,Quic Bites,,,,,,,,,Bavdhan
2966,"Thorat's Baarbeque Misal
                                    ",,Baner,3.6634499896458945,,3.8,0.0,250,Beverages,Street Food,,,,,,,,,,,,,,,,Baner
2967,"Thorat's Baarbeque Misal
                                    ",['Quic Bites'],Hadapsar,3.6634499896458945,,3.8,0.0,250,Fast Food,Street Food,,,,,,,Quic Bites,,,,,,,,,Hadapsar
2968,"Thorat's Baarbeque Misal
                                    ",,Parvati,3.6634499896458945,,3.8,0.0,250,Beverages,Street Food,,,,,,,,,,,,,,,,Parvati
2969,"Latitude  Blue Diamond
                                    ",['Fine Dining'],"Blue Diamond, oregaon Par",4.3,753.0,3.8,0.0,2000,Salad,South Indian,European,Italian,Mediterranean,North Indian,,,Fine Dining,,Pizza, Biryani, Pasta, Fish, Salad, eema Pav, Tea, oregaon Par
2970,"Appa
                                    ",['Quic Bites'],arve Nagar,3.5,33.0,4.4,771.0,200,Street Food,Maharashtrian,,,,,,,Quic Bites,,,,,,,,,arve Nagar
2971,"Good Food Roll House
                                    ",['Quic Bites'],Waad,4.0,265.0,4.1,1108.0,600,Beverages,Rolls,Chinese,North Indian,,,,,Quic Bites,,Rolls, Chicen Roll, Chicen Biryani, Momos, Double Egg Roll, Chicen Handi, Paneer Cheese Roll,Waad
2972,"oita
                                    ","['Casual Dining', 'Bar']",Hadapsar,4.1,551.0,3.9,1842.0,1600,Mughlai,North Indian,Continental,Asian,,,,,Casual Dining,Bar,Moctails, Roti, Coctails, Fish, Mata Biryani, Chicen Sherdil, Masala Papad,Hadapsar
2973,"Hotel Raj
                                    ",,PuneSolapur Road,3.6634499896458945,,3.8,0.0,300,North Indian,Chinese,,,,,,,,,,,,,,,,PuneSolapur Road
2974,"Chai Point
                                    ",['Quic Bites'],Magarpatta,3.6,1633.0,3.8,0.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,,Chai, Ginger Tea, Coffee, Samosa,,,,Magarpatta
2975,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Sadashiv Peth,4.5,2577.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,Baarwadi, Amrahand, Shrihand, alaand, Mango Burfi, Gulab Jamun, Lassi,Sadashiv Peth
2976,"Ya Habibi Fatayer
                                    ",['Quic Bites'],NIBM Road,3.8,91.0,3.7,132.0,400,Arabian,,,,,,,,Quic Bites,,Falafel Platter, Cheese Fatayer, Zaatar,,,,,NIBM Road
2977,"One O Eight Cafe
                                    ",['Café'],oregaon Par,4.3,773.0,3.9,40.0,1000,Continental,Italian,Cafe,,,,,,Café,,Coffee, Sandwich, Cappuccino, Hot Chocolate, Healthy Breafast, Pancaes, Smoothie Bowl,oregaon Par
2978,"Gandharv Restaurant
                                    ",['Casual Dining'],JM Road,3.6,343.0,3.7,148.0,650,Beverages,Desserts,Street Food,Fast Food,Chinese,South Indian,North Indian,,Casual Dining,,Rava Masala Dosa, Idli, Thali, Masala Papad, Filtered Coffee, Masala Pav, Tea,JM Road
2979,"Om Sai Icecream
                                    ",['Dessert Parlor'],Lohegaon,3.6,41.0,3.9,168.0,200,Ice Cream,Desserts,,,,,,,Dessert Parlor,,,,,,,,,Lohegaon
2980,"Calcutta Foods Express
                                    ",['Quic Bites'],Pimple Saudagar,2.9,12.0,3.3,25.0,200,Fast Food,Bengali,,,,,,,Quic Bites,,,,,,,,,Pimple Saudagar
2981,"Savali
                                    ",['Casual Dining'],Nigdi,3.7,461.0,3.7,214.0,650,North Indian,Chinese,Fast Food,South Indian,,,,,Casual Dining,,Masala Papad, Biryani, Butter Naan, Masala Dosa, Paper Dosa, Panneer Butter Masala, Noodle,Nigdi
2982,"The Wadapav Cafe
                                    ",['Quic Bites'],Erandwane,3.8,57.0,3.9,139.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,Erandwane
2983,"Papa's Choice
                                    ",['Quic Bites'],Waad,4.2,358.0,3.2,2087.0,300,North Indian,,,,,,,,Quic Bites,,Dal Mahani, Chur Chur Naan, Panneer Butter Masala, Chole, Gulab Jamun, Chaap, Shahi Paneer,Waad
2984,"Chai Point
                                    ",['Quic Bites'],Magarpatta,3.6,1633.0,3.8,0.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,,Chai, Ginger Tea, Coffee, Samosa,,,,Magarpatta
2985,"Chai Point
                                    ",['Quic Bites'],Hinjawadi,3.3,61.0,4.0,971.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,,Chai, Ginger Tea, Banana Cae, Veg Puff,,,,Hinjawadi
2986,"Chai Point
                                    ",['Quic Bites'],"Phoenix Maret City, Viman Nagar",3.1,93.0,3.8,754.0,250,Beverages,Tea,Fast Food,Street Food,,,,,Quic Bites,,Masala Chai, Ginger Tea, Banana Cae, Iced Tea, Samosa, Fruit Cae, Lemon Tea, Viman Nagar
2987,"Chai Point
                                    ",['Quic Bites'],Hinjawadi,3.3,99.0,3.7,354.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,,Masala Chai, Ginger Tea, Maggi, Banana Cae,,,,Hinjawadi
2988,"Chai Point
                                    ","['Quic Bites', 'Beverage Shop']",Magarpatta,3.8,111.0,3.8,0.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,Beverage Shop,Ginger Tea, Chai, Banana Cae, Samosa, Maggi, Iced Tea, Poha,Magarpatta
2989,"Chai Point
                                    ",['Quic Bites'],Magarpatta,3.0,14.0,3.8,0.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,,,,,,,,,Magarpatta
2990,"Chai Point
                                    ",['Quic Bites'],Baner,3.3,0.0,3.8,0.0,250,Beverages,Tea,Fast Food,,,,,,Quic Bites,,,,,,,,,Baner
2991,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Sadashiv Peth,4.5,2577.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,Baarwadi, Amrahand, Shrihand, alaand, Mango Burfi, Gulab Jamun, Lassi,Sadashiv Peth
2992,"Chitale Bandhu Mithaiwale
                                    ","['Quic Bites', 'Sweet Shop']",othrud,3.8,108.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Quic Bites,Sweet Shop,,,,,,,,othrud
2993,"Chitale Bandhu Mithaiwale
                                    ","['Sweet Shop', 'Quic Bites']",Deccan Gymhana,4.6,773.0,4.5,672.0,350,Mithai,Street Food,,,,,,,Sweet Shop,Quic Bites,Baarwadi, Farsan, Shrihand, Samosa, Amrahand, alaand, Mango Burfi,Deccan Gymhana
2994,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],NIBM Road,3.8,140.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,Baarwadi, Dhola, Shrihand,,,,,NIBM Road
2995,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],alyani Nagar,3.9,152.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,Baarwadi, Shrihand,,,,,,alyani Nagar
2996,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Sadashiv Peth,3.9,128.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,,,,,,,,Sadashiv Peth
2997,"Chitale Bandhu Mithaiwale
                                    ","['Sweet Shop', 'Quic Bites']",arve Nagar,3.8,130.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,Quic Bites,,,,,,,,arve Nagar
2998,"Chitale Bandhu Mithaiwale
                                    ","['Sweet Shop', 'Quic Bites']",Hadapsar,3.2,4.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,Quic Bites,,,,,,,,Hadapsar
2999,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Bibvewadi,4.6,115.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,,,,,,,,Bibvewadi
3000,"Chitale Bandhu Mithaiwale
                                    ","['Sweet Shop', 'Quic Bites']",Pimple Saudagar,3.7,5.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,Quic Bites,,,,,,,,Pimple Saudagar
3001,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Baner,4.0,143.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,Baarwadi, Puran Poli,,,,,,Baner
3002,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Nigdi,4.3,226.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,,,,,,,,Nigdi
3003,"Chitale Bandhu Mithaiwale
                                    ","['Sweet Shop', 'Quic Bites']",Parvati,3.6634499896458945,,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,Quic Bites,,,,,,,,Parvati
3004,"Chitale Bandhu Mithaiwale
                                    ",['Sweet Shop'],Aundh,3.9,123.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,,,,,,,,,Aundh
3005,"Chitale Bandhu Mithaiwale
                                    ","['Sweet Shop', 'Quic Bites']",Nigdi,3.3,53.0,3.8,0.0,350,Mithai,Street Food,,,,,,,Sweet Shop,Quic Bites,,,,,,,,Nigdi
3006,"The Wadapav Cafe
                                    ",['Quic Bites'],Erandwane,3.8,57.0,3.9,139.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,Erandwane
3007,"The Wadapav Cafe
                                    ",['Quic Bites'],haradi,2.5,13.0,3.8,202.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,haradi
3008,"The Wadapav Cafe
                                    ",['Quic Bites'],Balewadi,2.7,30.0,3.5,319.0,400,Beverages,Street Food,Fast Food,,,,,,Quic Bites,,,,,,,,,Balewadi
3009,"The Wadapav Cafe
                                    ",['Quic Bites'],Bibvewadi,3.1,12.0,3.8,0.0,300,Fast Food,Street Food,,,,,,,Quic Bites,,,,,,,,,Bibvewadi
3010,"The Wadapav Cafe
                                    ",['Quic Bites'],Viman Nagar,4.0,311.0,3.8,3628.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,Vada Pav, Puran Poli, Misal Pav, Ginger Tea, othimbir Vadi, Chai, Pav Bhaji,Viman Nagar
3011,"The Wadapav Cafe
                                    ",['Food Court'],"umar Pacific Mall, Swargate",3.3,13.0,3.8,132.0,300,Beverages,Fast Food,,,,,,,Food Court,,,,,,,,, Swargate
3012,"The Wadapav Cafe  Elite
                                    ",['Café'],Bavdhan,3.7,178.0,4.0,722.0,650,Ice Cream,Cafe,,,,,,,Café,,Cold Coffee, Filtered Coffee, Pasta, Sandwich, Chai, Vada Pav, Tea,Bavdhan
3013,"The Wadapav Cafe
                                    ",['Quic Bites'],Pimpri,3.4,40.0,3.6,99.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,Pimpri
3014,"The Wadapav Cafe
                                    ",['Quic Bites'],othrud,3.0,24.0,3.7,222.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,othrud
3015,"The Wadapav Cafe
                                    ",['Quic Bites'],Aurdi,3.0,39.0,4.2,404.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,Aurdi
3016,"The Wadapav Cafe
                                    ",['Quic Bites'],Chinchwad,3.7,24.0,3.6,88.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,Chinchwad
3017,"The Wadapav Cafe
                                    ",['Quic Bites'],othrud,3.1,13.0,3.6,82.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,othrud
3018,"The Wadapav Cafe
                                    ",['Food Court'],Sinhgad Road,3.1,32.0,3.2,429.0,200,Beverages,Street Food,,,,,,,Food Court,,,,,,,,,Sinhgad Road
3019,"The Wadapav Cafe
                                    ",['Quic Bites'],alyani Nagar,3.6634499896458945,,3.8,0.0,350,Beverages,Fast Food,Street Food,,,,,,Quic Bites,,,,,,,,,alyani Nagar
3020,"Baer's Zone
                                    ",['Baery'],Pimpri,2.8,4.0,4.2,201.0,250,Baery,,,,,,,,Baery,,,,,,,,,Pimpri
3021,"Zanbaq
                                    ",['Casual Dining'],NIBM Road,3.8,284.0,3.2,2448.0,600,Arabian,Chinese,North Indian,,,,,,Casual Dining,,Shawarma, Tandoori Chicen, Chicen Zanbaq, Dum Biryani, Chicen Shawarama, Roti, Salad,NIBM Road
3022,"Marmalade
                                    ",['Casual Dining'],Aundh,3.7,23.0,3.8,0.0,2000,Beverages,Desserts,Italian,,,,,,Casual Dining,,,,,,,,,Aundh
3023,"Te Amo
                                    ",['Casual Dining'],Chandan Nagar,4.1,554.0,4.0,3081.0,850,Beverages,North Indian,Fast Food,Chinese,Street Food,South Indian,,,Casual Dining,,Brownie, Veg Manchurian, Pasta, iwi Punch, Cut Dosa, Tandoori Paneer Tia, Biryani,Chandan Nagar
3024,"Smoe On The Water
                                    ","['Bar', 'Casual Dining']",Bhugaon,4.2,1194.0,3.8,0.0,1300,Chinese,Mughlai,Asian,Continental,North Indian,,,,Bar,Casual Dining,Coctails, Masala Peanuts, Paneer Tia, Butter Chicen, Beer, Dal Tada, Crispy Chicen,Bhugaon
3025,"Taaareef
                                    ",['Casual Dining'],Bavdhan,4.1,221.0,3.8,327.0,1200,Biryani,Mughlai,North Indian,,,,,,Casual Dining,,Biryani, Tandoori Chicen,,,,,,Bavdhan
3026,"inara's Maratha Darbar
                                    ",['Casual Dining'],othrud,3.3,37.0,4.2,469.0,500,North Indian,Chinese,Maharashtrian,,,,,,Casual Dining,,,,,,,,,othrud
3027,"Giridhar
                                    ",['Casual Dining'],Baner,3.9,343.0,4.1,8586.0,400,South Indian,North Indian,Maharashtrian,,,,,,Casual Dining,,Tea, Dal ichadi, Thali, Paratha, Poha, Sev Bhaji, Lassi,Baner
3028,"iga Ice Cream
                                    ",['Dessert Parlor'],Talegaon,3.6634499896458945,,3.8,0.0,250,Ice Cream,,,,,,,,Dessert Parlor,,,,,,,,,Talegaon
3029,"Nath rupa Bhojnalay
                                    ",['Quic Bites'],Wagholi,3.6634499896458945,,3.8,0.0,400,North Indian,,,,,,,,Quic Bites,,,,,,,,,Wagholi
3030,"Salad Men
                                    ",,Wadgaon Sheri,4.0,1495.0,3.8,0.0,500,Sandwich,Salad,,,,,,,,,Quinoa Salad, Cheese Panini, Cheese Sandwich, Chicen Chuns, Potato Wedges, Peri Peri Cottage, Smoed Chicen Salad,Wadgaon Sheri
3031,"Ho Fat Ho
                                    ",,atraj,3.6634499896458945,,3.8,0.0,250,Chinese,Fast Food,Italian,North Indian,,,,,,,,,,,,,,atraj
3032,"Chinar Garden's China Garden
                                    ",['Casual Dining'],Baner,2.6,212.0,3.7,2327.0,600,Chinese,Mughlai,North Indian,,,,,,Casual Dining,,Tandoori Chicen, Mutton Biryani, Noodle, Pan Fried Noodles, Fish, Fried Rice Chicen, Manchurian,Baner
3033,"Darvesh Biryani House
                                    ",,othrud,3.5,1290.0,3.8,0.0,200,North Indian,Biryani,,,,,,,,,,,,,,,,othrud
3034,"Dashinayam
                                    ",['Quic Bites'],Magarpatta,3.5,46.0,3.8,145.0,400,South Indian,North Indian,,,,,,,Quic Bites,,,,,,,,,Magarpatta
3035,"Salad Men
                                    ",,Wadgaon Sheri,4.0,1495.0,3.8,0.0,500,Sandwich,Salad,,,,,,,,,Quinoa Salad, Cheese Panini, Cheese Sandwich, Chicen Chuns, Potato Wedges, Peri Peri Cottage, Smoed Chicen Salad,Wadgaon Sheri
3036,"Salad Men
                                    ",,Wanowrie,4.0,84.0,3.8,0.0,500,Sandwich,Salad,,,,,,,,,,,,,,,,Wanowrie
3037,"Salad Men
                                    ",,Pimple Saudagar,3.5,136.0,3.8,0.0,500,Sandwich,Salad,,,,,,,,,,,,,,,,Pimple Saudagar
3038,"Salad Men
                                    ",['Quic Bites'],Viman Nagar,3.8,44.0,4.0,245.0,500,Sandwich,Salad,,,,,,,Quic Bites,,,,,,,,,Viman Nagar
3039,"Salad Men Express
                                    ",,Hadapsar,3.6634499896458945,,3.8,0.0,500,Sandwich,Salad,,,,,,,,,,,,,,,,Hadapsar
3040,"Salad Men
                                    ",,Magarpatta,4.1,145.0,3.8,0.0,500,Sandwich,Salad,,,,,,,,,,,,,,,,Magarpatta
3041,"M.M. Restaurant
                                    ",['Casual Dining'],hadi,3.8,309.0,3.8,938.0,700,Desserts,Beverages,South Indian,North Indian,Chinese,Biryani,,,Casual Dining,,Thali, Dahi Vada, Tomato Soup, Pav Bhaji,,,,hadi
3042,"Pleasure's Trove Family Restaurant
                                    ",['Casual Dining'],Shivane,3.2,7.0,3.8,0.0,550,Malwani,Chinese,Mughlai,North Indian,,,,,Casual Dining,,,,,,,,,Shivane
3043,"Mirch Masala Resto Bar
                                    ",['Casual Dining'],othrud,3.9,594.0,4.2,544.0,1100,Seafood,North Indian,Chinese,,,,,,Casual Dining,,Butter Chicen, Coctails, Sea Food, Tandoori Chicen, Biryani, Masala Papad, Spring Roll,othrud
3044,"Hotel Chul Mutton
                                    ",['Casual Dining'],arve Nagar,4.0,446.0,3.8,0.0,800,Maharashtrian,North Indian,,,,,,,Casual Dining,,Mutton Thali, Chicen Thali, Mutton Fry, Mutton Biryani, Chicen Dum Biryani, Mutton eema, Gulab Jamun,arve Nagar
3045,"Shrimanti Misal And Snacs
                                    ",['Quic Bites'],Tila Road,3.8,46.0,4.6,117.0,100,Beverages,Maharashtrian,Street Food,,,,,,Quic Bites,,Misal, Vada, Moda,,,,,Tila Road
3046,"uoochu
                                    ",['Quic Bites'],Deccan Gymhana,3.8,265.0,4.2,833.0,600,North Indian,,,,,,,,Quic Bites,,Tandoori Chicen, Butter Chicen, Chicen Biryani, Chicen Tia, Chicen Soup, Naan, Jeera Rice,Deccan Gymhana
3047,"Gaarva Biryani
                                    ",['Quic Bites'],othrud,3.8,92.0,3.8,677.0,200,Biryani,,,,,,,,Quic Bites,,Biryani,,,,,,,othrud
3048,"Great Poona Cold Drin House
                                    ","['Dessert Parlor', 'Beverage Shop']",Camp Area,3.8,103.0,4.3,431.0,200,Beverages,Desserts,Ice Cream,,,,,,Dessert Parlor,Beverage Shop,Faluda, ulfi, Lassi,,,,,Camp Area
3049,"Le Stone
                                    ","['Casual Dining', 'Bar']",Ravet,4.5,1446.0,3.8,0.0,1500,Chinese,Pizza,ebab,Continental,North Indian,,,,Casual Dining,Bar,Coctails, Moctails, Dum Biryani, Cheese Corn Balls, Brownie,,,Ravet
3050,"New Poona Cold Drins House
                                    ","['Dessert Parlor', 'Beverage Shop']",Camp Area,4.1,169.0,4.3,188.0,150,Beverages,Ice Cream,,,,,,,Dessert Parlor,Beverage Shop,Sweet Lassi, Malai ulfi Faluda, Royal Faluda, Mata Dahi, Guland Faluda, Coctail Faluda,,Camp Area
3051,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Waad,4.4,85.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Waad
3052,"Annapurna Uphar Gruha
                                    ",['Quic Bites'],haradi,3.4,13.0,3.2,82.0,400,North Indian,,,,,,,,Quic Bites,,,,,,,,,haradi
3053,"Paradise Family Restaurant
                                    ",['Casual Dining'],haradi,3.9,309.0,3.7,2021.0,800,North Indian,Maharashtrian,Chinese,Biryani,,,,,Casual Dining,,Hyderabadi Biryani, Mutton Biryani, Chicen Dum Biryani, Chicen 65, Egg Biryani, Raita, Chicen Handi,haradi
3054,"The Tasty Tiffin
                                    ",['Quic Bites'],haradi,4.0,474.0,3.8,1806.0,400,Maharashtrian,Chinese,North Indian,,,,,,Quic Bites,,Naan,,,,,,,haradi
3055,"Biryani Art
                                    ",['Quic Bites'],haradi,4.0,274.0,3.6,1007.0,700,Mughlai,Biryani,North Indian,,,,,,Quic Bites,,Hyderabadi Biryani, Chicen Lollipop, Chicen Dum Biryani, Mutton Biryani,,,,haradi
3056,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Waad,4.4,85.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Waad
3057,"Monginis
                                    ",['Baery'],haradi,2.7,9.0,3.9,64.0,300,Baery,,,,,,,,Baery,,,,,,,,,haradi
3058,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Dhanawadi,3.6,80.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Dhanawadi
3059,"Monginis
                                    ",['Baery'],hadi,2.7,19.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,hadi
3060,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Dange Chow,3.6,22.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Dange Chow
3061,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Balewadi,3.7,471.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Balewadi
3062,"Monginis
                                    ","['Dessert Parlor', 'Baery']",ondhwa,3.3,15.0,3.8,0.0,300,Baery,,,,,,,,Dessert Parlor,Baery,,,,,,,,ondhwa
3063,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Chinchwad,3.5,50.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Chinchwad
3064,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Hadapsar,2.9,63.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,Lava Cae,,,,,,,Hadapsar
3065,"Monginis
                                    ",['Baery'],Hadapsar,3.0,10.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,Hadapsar
3066,"Monginis
                                    ","['Baery', 'Dessert Parlor']",PuneSolapur Road,3.6634499896458945,,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,PuneSolapur Road
3067,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Sinhgad Road,3.2,18.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Sinhgad Road
3068,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Bibvewadi,3.4,30.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Bibvewadi
3069,"Monginis
                                    ","['Baery', 'Dessert Parlor']",NIBM Road,2.9,11.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,NIBM Road
3070,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Vishrantwadi,3.3,35.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Vishrantwadi
3071,"Monginis
                                    ","['Baery', 'Dessert Parlor']",Budhwar Peth,3.1,6.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,Budhwar Peth
3072,"Monginis
                                    ",['Baery'],Tila Road,3.5,20.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,Tila Road
3073,"Monginis
                                    ",['Baery'],Pimpri,3.0,8.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,Pimpri
3074,"Monginis
                                    ",['Baery'],Dehu Road,2.8,11.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,Dehu Road
3075,"Monginis
                                    ",['Baery'],othrud,3.1,12.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,othrud
3076,"Monginis
                                    ","['Baery', 'Dessert Parlor']",B.T. awade Road,3.0,15.0,3.8,0.0,300,Baery,,,,,,,,Baery,Dessert Parlor,,,,,,,,B.T. awade Road
3077,"Monginis
                                    ",['Baery'],Bhosari,2.9,9.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,Bhosari
3078,"Monginis
                                    ",['Baery'],Vishrantwadi,2.6,7.0,3.8,0.0,300,Baery,,,,,,,,Baery,,,,,,,,,Vishrantwadi
